img,title,price,traffic,type,url,city,square,height,roomsum,direction
https://public.danke.com.cn/public-20190830-FsYvaJIbGgTrdRUVLf6CakXQQfub?imageView2/1/w/380/h/285,光谷广场华乐苑3室1厅,1240,"距2号线,11号线光谷广场站650米",合,https://www.danke.com/room/wh?page=1,wh,17,5,3室1卫,南
https://public.danke.com.cn/public-20190402-FinySpfEUN5OksjOFQaQP86_dmwn?imageView2/1/w/380/h/285,光谷广场金地雄楚一号3室1厅,1260,距2号线杨家湾站1200米,合,https://www.danke.com/room/wh?page=1,wh,13,3,3室1卫,南
https://public.danke.com.cn/public-20190705-FnifQhXivRCKiaRgJzofbcD1qPdw?imageView2/1/w/380/h/285,杨家湾保利华都3室1厅,1390,距2号线杨家湾站400米,合,https://www.danke.com/room/wh?page=1,wh,18,23,3室1卫,南
https://public.danke.com.cn/public-20180118-Fj1LwzS_VmjYXoslT9ZMNHRpco6L?imageView2/1/w/380/h/285,十五中凯乐花园5室1厅,1360,距12号线十五中站350米,合,https://www.danke.com/room/wh?page=1,wh,13,18,5室2卫,南
https://public.danke.com.cn/public-20190421-Fiswd5-4NSc0lHBNNuk5Qqo8pgL6?imageView2/1/w/380/h/285,杨家湾保利华都2室1厅,1330,距2号线杨家湾站400米,合,https://www.danke.com/room/wh?page=1,wh,11,26,2室1卫,南
https://public.danke.com.cn/public-20180815-Fv2RKkRqPZHWWgGWgACzcfrWB2AL?imageView2/1/w/380/h/285,光谷广场洪福添美城市广场3室1厅,1450,"距2号线,11号线光谷广场站950米",合,https://www.danke.com/room/wh?page=1,wh,15,11,3室1卫,南
https://public.danke.com.cn/public-20180724-FgqEOzaGoAlAl2X2QJAjsD9EwCnX?imageView2/1/w/380/h/285,光谷广场新域柠檬特区4室1厅,1140,"距2号线,11号线光谷广场站250米",合,https://www.danke.com/room/wh?page=1,wh,9,3,4室1卫,南
https://public.danke.com.cn/public-20180920-FvLeAADC1lVYWlm3Nql19E1v-7v8?imageView2/1/w/380/h/285,小龟山群建星城3室1厅,1290,"距2号线,12号线小龟山站250米",合,https://www.danke.com/room/wh?page=1,wh,13,34,3室1卫,南
https://public.danke.com.cn/public-20181215-Fjkwt0cLbmlpTr3v4O1zZx0PXnbg?imageView2/1/w/380/h/285,光谷广场洪福家园4室1厅,1170,"距2号线,11号线光谷广场站900米",合,https://www.danke.com/room/wh?page=1,wh,13,1,4室1卫,南
https://public.danke.com.cn/public-20181112-Ft7oROp-dfVGzJimIMqnsyTKYpzr?imageView2/1/w/380/h/285,光谷软件园锦绣龙城A区4室1厅,1160,距2号线金融港北站3100米,合,https://www.danke.com/room/wh?page=1,wh,18,7,4室1卫,南
https://public.danke.com.cn/public-20181108-FjJvEQ1N0uhbbo3N4rNcYliuasP0?imageView2/1/w/380/h/285,马房山狮城公寓4室1厅,1170,"距8号线,11号线马房山站550米",合,https://www.danke.com/room/wh?page=1,wh,11,4,4室1卫,南
https://public.danke.com.cn/public-20191127-Fq04xgA8l7BBSFXFVz3Y54SdccMi?imageView2/1/w/380/h/285,光谷广场华城新都4室1厅,1140,"距2号线,11号线光谷广场站700米",合,https://www.danke.com/room/wh?page=1,wh,11,3,4室1卫,南
https://public.danke.com.cn/public-20190829-Fr9pLJRJSvN09YdoX8yDFtJtLxJZ?imageView2/1/w/380/h/285,光谷广场华乐山庄4室1厅,1120,"距2号线,11号线光谷广场站650米",合,https://www.danke.com/room/wh?page=1,wh,14,5,4室1卫,南
https://public.danke.com.cn/public-20191218-FvjdrEBe0LSokKEjeS-DBUHvGCEw?imageView2/1/w/380/h/285,杨家湾保利华都2室1厅,1490,距2号线杨家湾站400米,合,https://www.danke.com/room/wh?page=1,wh,12,14,2室1卫,南
https://public.danke.com.cn/public-20190329-Fj8Qu-uJJ4aWi9-DOwxcvtrjGSUt?imageView2/1/w/380/h/285,光谷广场绿之苑3室1厅,1120,"距2号线,11号线光谷广场站850米",合,https://www.danke.com/room/wh?page=1,wh,11,3,3室1卫,南
https://public.danke.com.cn/public-20191207-Fj7okvoOxkpdBIAGBF40r3i93Lui?imageView2/1/w/380/h/285,马房山天下龙岭广场3室1厅,1390,"距8号线,11号线马房山站950米",合,https://www.danke.com/room/wh?page=1,wh,11,19,3室1卫,南
https://public.danke.com.cn/public-20190929-FpeIr2MdF7IAtIJvJL1zgULINLHM?imageView2/1/w/380/h/285,光谷广场金地天悦睿府4室1厅,1230,"距2号线,11号线光谷广场站1550米",合,https://www.danke.com/room/wh?page=1,wh,14,8,4室1卫,南
https://public.danke.com.cn/public-20190110-Fo_KGHYikkzZx2N-U1BDWPrhBR8B?imageView2/1/w/380/h/285,街道口未来城3室1厅,1580,距2号线街道口站100米,合,https://www.danke.com/room/wh?page=1,wh,11,24,3室1卫,南
https://public.danke.com.cn/public-20190924-FqbCAUiXabeFPJUnPSiVXIBm3_Xt?imageView2/1/w/380/h/285,光谷广场紫菘花园4室1厅,1290,"距2号线,11号线光谷广场站650米",合,https://www.danke.com/room/wh?page=1,wh,16,5,4室1卫,南
https://public.danke.com.cn/public-20190103-Fnp2kAtdlXKMiGElXNz_bS1iTq6U?imageView2/1/w/380/h/285,街道口未来城3室1厅,1580,距2号线街道口站100米,合,https://www.danke.com/room/wh?page=1,wh,12,9,3室1卫,南
https://public.danke.com.cn/public-20181115-FvDmUtM85CSNf2YIDsRwd1CF1zsH?imageView2/1/w/380/h/285,宝通寺蓝空公寓3室1厅,1490,距2号线宝通寺站350米,合,https://www.danke.com/room/wh?page=2,wh,19,3,3室1卫,南
https://public.danke.com.cn/public-20181023-FlSh_lddkowzxd7DmwY2buRhwcg8?imageView2/1/w/380/h/285,光谷广场洪福家园5室1厅,1230,"距2号线,11号线光谷广场站900米",合,https://www.danke.com/room/wh?page=2,wh,18,8,5室1卫,南
https://public.danke.com.cn/public-20180609-FmNj-EVDmrk4UPgfJ-c4jNV2PYx4?imageView2/1/w/380/h/285,洪山广场洪山花园3室1厅,1420,"距2号线,4号线洪山广场站850米",合,https://www.danke.com/room/wh?page=2,wh,13,2,3室1卫,南
https://public.danke.com.cn/public-20190928-FhGgOQJePMep-TCOoGigad4t6xuE?imageView2/1/w/380/h/285,虎泉城投瀚城4室1厅,1160,距2号线杨家湾站1400米,合,https://www.danke.com/room/wh?page=2,wh,12,7,4室1卫,南
https://public.danke.com.cn/public-20191029-Fk1HIw0_DdfhFXLGWpK9YFfoNBA1?imageView2/1/w/380/h/285,虎泉武汉警官职业学院武昌校区4室1厅,1260,距2号线杨家湾站650米,合,https://www.danke.com/room/wh?page=2,wh,14,23,4室1卫,南
https://public.danke.com.cn/public-20190910-Fn9rhGFSSgQGl4ryw9hJSAwI_hrk?imageView2/1/w/380/h/285,关山大道保利时代3室1厅,1410,距11号线关山大道站750米,合,https://www.danke.com/room/wh?page=2,wh,14,15,3室1卫,南
https://public.danke.com.cn/public-20191113-Fr4b6dL6Xh_yc_ZNLiYghOQ9zJkK?imageView2/1/w/380/h/285,武胜路银丰富苑3室1厅,1290,距6号线武胜路站650米,合,https://www.danke.com/room/wh?page=2,wh,11,17,3室1卫,南
https://public.danke.com.cn/public-20191114-Fv-Olt5jMGzSer7DrLJyun-C4EEx?imageView2/1/w/380/h/285,关山大道紫菘枫林上城3室1厅,1480,距11号线关山大道站1050米,合,https://www.danke.com/room/wh?page=2,wh,19,4,3室1卫,南
https://public.danke.com.cn/public-20191113-FvZM20kyVaHA-Q_dV-Rwl5hHEmE_?imageView2/1/w/380/h/285,光谷广场金地天悦睿府3室1厅,1180,"距2号线,11号线光谷广场站1550米",合,https://www.danke.com/room/wh?page=2,wh,12,15,3室1卫,东南
https://public.danke.com.cn/public-20180911-FkrtoJI4zE7twAGHrDza4UDBLqm-?imageView2/1/w/380/h/285,光谷广场金地雄楚一号3室1厅,1330,距2号线杨家湾站1200米,合,https://www.danke.com/room/wh?page=2,wh,13,26,3室1卫,南
https://public.danke.com.cn/public-20181226-FsmOpzD1Hlb8ao_DbNCt7nwd37o7?imageView2/1/w/380/h/285,光谷广场尖东智能花园4室1厅,1260,"距2号线,11号线光谷广场站150米",合,https://www.danke.com/room/wh?page=2,wh,9,9,4室1卫,南
https://public.danke.com.cn/public-20180827-FpfDesGETy2OCd170w1kegB2Fyez?imageView2/1/w/380/h/285,光谷广场新域柠檬特区3室1厅,1400,"距2号线,11号线光谷广场站250米",合,https://www.danke.com/room/wh?page=2,wh,13,4,3室1卫,南
https://public.danke.com.cn/public-20190408-FrxOgCuPtgjF9GUFNmDvRWd_Yovu?imageView2/1/w/380/h/285,三阳路三阳广场4室1厅,1160,"近1号线,7号线三阳路",合,https://www.danke.com/room/wh?page=2,wh,11,8,4室1卫,南
https://public.danke.com.cn/public-20180716-FtzbB5teYscHtn07GZ_jd0nfGzYn?imageView2/1/w/380/h/285,东亭金沙泊岸3室1厅,1200,距4号线东亭站700米,合,https://www.danke.com/room/wh?page=2,wh,13,25,3室1卫,南
https://public.danke.com.cn/public-20181025-FqweQRxwf3f3Rliq1G4rWpWHWOZi?imageView2/1/w/380/h/285,丁字桥路滨湖名邸二期4室1厅,1230,距11号线丁字桥路站600米,合,https://www.danke.com/room/wh?page=2,wh,14,22,4室1卫,南
https://public.danke.com.cn/public-20180525-FuURKC6X03iIYWUzA5jSk6maQTto?imageView2/1/w/380/h/285,光谷广场金地天悦3室1厅,1370,距2号线杨家湾站1450米,合,https://www.danke.com/room/wh?page=2,wh,16,2,3室1卫,南
https://public.danke.com.cn/public-20180710-FkUoR-BRNd75cvTBUlkxxUYNluVP?imageView2/1/w/380/h/285,光谷广场金地天悦4室1厅,1210,距2号线杨家湾站1450米,合,https://www.danke.com/room/wh?page=2,wh,15,14,4室1卫,南
https://public.danke.com.cn/public-20180901-Fsb1_R73Dcst1KyO55lnx61cy0NJ?imageView2/1/w/380/h/285,徐东武铁佳苑3室1厅,1190,距8号线徐东站750米,合,https://www.danke.com/room/wh?page=2,wh,14,6,3室1卫,南
https://public.danke.com.cn/public-20180606-Fp0iuNtM89GnFgOFlalFtw_-odgt?imageView2/1/w/380/h/285,王家湾(武汉)阳光城十里新城3室1厅,1050,"距3号线,4号线王家湾站550米",合,https://www.danke.com/room/wh?page=2,wh,11,10,3室1卫,南
https://public.danke.com.cn/public-20190804-FjtczvzbXLrSQqAbrClk-F3ntXbK?imageView2/1/w/380/h/285,珞雄路湖北中医小区3室1厅,1220,距2号线珞雄路站300米,合,https://www.danke.com/room/wh?page=2,wh,11,2,3室1卫,南
https://public.danke.com.cn/public-20190824-FrHEBuqkb0UzVhKvE0bm-j4pX9PS?imageView2/1/w/380/h/285,光谷广场新域柠檬特区4室1厅,1340,"距2号线,11号线光谷广场站250米",合,https://www.danke.com/room/wh?page=3,wh,16,6,4室1卫,南
https://public.danke.com.cn/public-20191211-FoyuTuWVnQ7NSrFuMGF6LYPsSwYh?imageView2/1/w/380/h/285,光谷广场华乐山庄3室1厅,1200,"距2号线,11号线光谷广场站650米",合,https://www.danke.com/room/wh?page=3,wh,12,3,3室1卫,南
https://public.danke.com.cn/public-20190621-Fr5p4Rwlcz9a4lHt_a9CC4H6oErC?imageView2/1/w/380/h/285,光谷广场当代花园东方巴黎苑3室1厅,1220,"距2号线,11号线光谷广场站850米",合,https://www.danke.com/room/wh?page=3,wh,12,4,3室1卫,东
https://public.danke.com.cn/public-20190319-lmRHk-bxt0vOz9WaPFKx8PgYbAXL?imageView2/1/w/380/h/285,宝通寺丁字桥小区3室1厅,1370,距2号线宝通寺站650米,合,https://www.danke.com/room/wh?page=3,wh,14,5,3室1卫,东北
https://public.danke.com.cn/public-20180402-FoRNK5gzMEQR3WTVBYfse87-NZjj?imageView2/1/w/380/h/285,徐东欧洲花园4室1厅,1260,距8号线徐东站450米,合,https://www.danke.com/room/wh?page=3,wh,15,3,4室1卫,东南
https://public.danke.com.cn/public-20190429-FvodZIBq0od4BXzmqHLSwGqrcKw6?imageView2/1/w/380/h/285,武昌火车站武昌城市公园4室1厅,1360,"距4号线,7号线,11号线,12号线武昌火车站站750米",合,https://www.danke.com/room/wh?page=3,wh,15,14,4室1卫,南
https://public.danke.com.cn/public-20180503-FncDWtR_38lGY6x04uTZECa2XhBP?imageView2/1/w/380/h/285,武昌火车站站前阳光4室1厅,1190,"距4号线,7号线,11号线,12号线武昌火车站站650米",合,https://www.danke.com/room/wh?page=3,wh,10,6,4室1卫,南
https://public.danke.com.cn/public-20190507-FjBOdgB_-n2XH3V85_99q0YtAQJC?imageView2/1/w/380/h/285,光谷广场三金雄楚天地4室1厅,1460,距2号线杨家湾站50米,合,https://www.danke.com/room/wh?page=3,wh,14,11,4室1卫,南
https://public.danke.com.cn/public-20180730-FsBiovMowC8jZFX8siGXZXL1Iuq8?imageView2/1/w/380/h/285,珞雄路常青藤名苑2室1厅,1290,距2号线珞雄路站450米,合,https://www.danke.com/room/wh?page=3,wh,10,8,2室1卫,北
https://public.danke.com.cn/public-20180811-Fqf6UCp0Z0tVWSYZGE8Ct_wTJi5b?imageView2/1/w/380/h/285,珞雄路广厦华庭4室1厅,1010,距2号线珞雄路站550米,合,https://www.danke.com/room/wh?page=3,wh,7,8,4室1卫,南
https://public.danke.com.cn/public-20191223-FpwlkrrvTePCIZrqxLO2APfwWoWb?imageView2/1/w/380/h/285,杨家湾保利华都2室1厅,1420,距2号线杨家湾站400米,合,https://www.danke.com/room/wh?page=3,wh,13,10,2室1卫,南
